"","A11_S1","A12_S2","A13_S3","A15_S4","A16_S5","A17_PulledDown_S6","B11_PulledDown_S7","B12_PulledDown_S8","B13_PulledDown_S9","B15_PulledDown_S10","B16_PulledDown_S11","B17_S12","HN878_broth_R1_S1","HN878_broth_R2_S2","HN878_broth_R3_S3","HN878_mimic_D14_R1_S7","HN878_mimic_D14_R2_S8","HN878_mimic_D14_R3_S9","HN878_mimic_D28_R1_S10","HN878_mimic_D28_R2_S11","HN878_mimic_D42_R1_S12","HN878_mimic_D42_R2_S13","HN878_mimic_D42_R3_S14","HN878_mimic_D7_R1_S4","HN878_mimic_D7_R2_S5","HN878_mimic_D7_R3_S6","HN878_R1_1Probe","HN878_R2_1Probe","iMTB_0_S31","iMTB_0_S48","iMTB_14_S18","iMTB_28_S19","iMTB_28_S38","iMTB_42_S20","iMTB_42_S39","KA_2_S12","KA_2_S32","KA_3_S13","KA_3_S33","LLL_Cav_L2_20mm_18_S24","LLL_Cav_L2_20mm_18_S41","LLL_Cav_L2_20mm_21_S25","LLL_Cav_L2_20mm_21_S42","LUL_Cav_L1_15mm_12_S22","LUL_Cav_L1_15mm_12_S39","LUL_Cav_L1_15_S14","LUL_Cav_L1_15_S34","mimic_only_D42_R1_S15","R002_12_S25","R002_12_S4","R002_14_S5","R002_3_S1","R002_3_S22","R002_7_S23","R002_7_S2","R002_9_S24","R002_9_S3","R006_11_S28","R006_11_S8","R006_13_S29","R006_13_S9","R006_17_S10","R006_17_S30","R006_19_S11","R006_19_S31","R006_7_S26","R006_7_S6","R006_9_S27","R006_9_S7","R011_L1_30_S27","R011_L41_22_S23","R011_L4_27_S25","R011_L4_28_S26","R011_L5_18_S21","R011_L5_19_S22","R011_L6_12_S18","R011_R1_8_S16","R011_R1_9_S17","R011_R2_13_S19","R011_R2_14_S20","R011_R3_25_S24","R011_R4_31_S28","RLL_Cav_Cluster_R4_13mm_23_S26","RLL_Cav_Cluster_R4_13mm_23_S43","RLL_Cav_R3_18mm_X_15mm_16_S23","RLL_Cav_R3_18mm_X_15mm_16_S40","RLL_Cav_R3_28_S15","RLL_Cav_R3_28_S35","RUL_Cav_R1_30mm_X_22mm_26_S27","RUL_Cav_R1_30mm_X_22mm_26_S44","RUL_Cav_R1_30mm_X_22mm_7_S37","RUL_Cav_R2_18mm_X_12mm_27_S28","RUL_Cav_R2_18mm_X_12mm_27_S45","RUL_Cav_R2_18mm_X_12mm_8_S21","RUL_Cav_R2_18mm_X_12mm_8_S38","Stearic_acid_0_S29","Stearic_acid_0_S46","Stearic_acid_14_S30","Stearic_acid_14_S47","Stearic_acid_28_S16","Stearic_acid_28_S36","Stearic_acid_42_S17","Stearic_acid_42_S37"
"Rv2573",10.31,8.74,22.57,25.72,0.91,2834.604278,3147.729729,3365.961385,3404.506272,4120.884614,1795.221131,8.66,751.678256,897.817589,258.615682,315.917861,185.435282,65.515716,196.123472,109.57802,209.353718,313.915029,164.704045,12.700651,123.520812,117.704896,177.05,179.26,358.815056,5.2,0,270.247514,1,519.369002,5.58,111.6964,0,112.688187,0,1350.139864,0,1174.189147,2,1658.556734,1,1877.000228,4.11,0,13.55,314.733494,831.290828,679.364466,3.42,38.76,2529.913831,23.55,2391.496956,5,219.387136,4,1559.464695,211.443211,8,344.506362,43,4,811.609152,0,340.943632,99.698666,1389.859489,0,177.385438,549.517401,319.692429,0,103.9932,42.3676,161.7672,55.8482,1959.896289,53.874255,325.489087,0,1446.391348,4,934.561853,0,1422.097381,0.57,4.51,1343.909901,12.45,950.931153,0,369.483988,16.26,763.5797,0,147.853295,8.03,306.712537,5
"Rv2574",6.42,7.43,17.5,15.47,2,1450.75734,2175.78896,2071.67396,2501.86452,2500.2113,1177.29456,3,1997.5567,2271.71358,1354.58032,718.31778,503.33608,101.41432,583.91478,267.31684,582.69064,722.38142,544.27536,47.28714,383.9004,410.50336,499.53,619.68,882.81948,15,0,373.6151,3.41,640.16212,7.12,388.36788,0,483.346,0,458.14386,2,721.33396,1.14,641.18434,1.14,810.11566,2,166.584,23.51,692.03032,1288.59034,513.49518,3,25.42,1450.15158,15.99,1534.92012,12.62,481.33942,1.58,824.91892,365.0966,8.7,434.01442,56,1,484.26726,0,224.6991,44.71266,376.2653,6.31,0,565.90604,73.34744,0,16.406,0.40384,5.1111,5.048,983.86782,100.56878,201.9831,0,456.7809,1.92,580.52,1,1132.3926,2.76,2.19,935.2051,6.77,452.71726,0,1914.27732,82.3,649.87952,0,413.19142,35.32,845.9817,17
"Rv2575",12.57,14.61,41.34,40.18,4,3716.658357,5181.992165,5102.796355,6623.275403,6495.203602,2564.082589,11,4441.878641,5683.542148,3811.139864,2363.758448,1577.053234,896.895064,2122.246448,893.674904,1857.277595,1865.056294,1568.560062,89.007235,1420.472954,1218.589048,2035.54,2194.26,3037.858692,71.04,0,1545.284343,24.95,1586.482265,21.49,2513.274502,0,1886.279161,1,1305.181163,1,3051.80601,7.24,1912.382583,3.27,1205.366266,2,99.392251,88.99,2236.391057,1935.879688,1761.578465,12.08,72.5,3559.08184,38.14,3513.003363,65.18,1998.662745,4.03,1909.484439,1684.616641,42.2,1744.873885,281.85,9.81,1455.773958,1,1024.071258,144.373861,1751.434961,0,146.597784,621.571384,510.918636,0,89.047487,30.078307,151.085882,70.441,2506.612796,519.572816,645.450883,0,1270.343057,3.65,841.085666,0,2846.178668,12.3,14.81,2412.523746,25.65,1602.895018,0,4210.711405,230.31,2559.0209,0,1774.227656,126.22,2267.153648,30.73
"Rv2576c",12.19,5.07,17.32,21.82,0,1420.598784,3479.740092,2022.187068,3445.37508,2985.57438,1005.033768,6,4410.476388,5300.25912,3786.16854,2488.321044,1705.292304,906.667416,2381.688612,944.837256,2145.728496,2416.333212,1998.956952,89.735592,1337.58546,1394.147328,1751.12,1884.97,2960.678892,55.68,4773.6612,1102.354704,24.57,1872.595332,19.88,3155.685444,3,2458.696872,4,804.581328,0,2098.903584,2,749.745612,2.14,1618.401216,1,73.130496,97.65,2322.76848,1731.391236,2188.882296,20.92,24.14,1473.197796,24.41,1038.171024,63.54,1827.922032,3,1478.643684,1482.618696,28.2,1414.824684,196,9.93,2472.71274,0,332.077608,54.106356,639.551472,1.2156,6.13878,278.712768,234.42846,0,47.128812,0,85.092,18.234,582.162996,818.609352,921.436956,0,620.235588,2.28,618.655308,0,1340.98914,6.8,0.39,1313.723232,7.7,763.494048,0,4980.325356,278.34,2178.90222,0,2025.55428,151.3,2639.845584,35.59
"Rv2577",11.43,17.53,50.92,56.15,2.43,4312.731888,4201.832664,6055.479432,6745.877478,7295.088474,2913.879762,19.05,918.639396,1185.66189,368.473896,750.991374,403.136532,465.7626,357.726888,225.227592,334.323864,447.980544,222.593868,16.7922,133.577532,167.418234,227.12,250.28,760.881096,6,0,644.369742,14.68,652.173696,10.55,402.129,0,638.9874,0,1429.06041,1,1519.216848,5,2690.428608,4.35,2926.058526,7.81,176.653944,29,595.645848,1852.04709,1102.602366,10.99,93.34,4732.749,60.36,4389.118722,24.07,415.350648,6.88,2624.011038,279.651996,7,549.926874,89.03,7,1243.824768,1,831.6558,146.984778,1838.383542,20.3274,189.00063,925.462332,355.24341,0,153.745848,8.838,138.632868,79.542,2947.243212,145.137636,764.690274,0,1443.413322,1,795.702816,0,3322.301418,11.68,19.18,2911.785156,44,1883.413152,0,537.138288,39.82,1107.53397,0,340.156944,24.28,589.901148,12.07
"Rv2578c",6.18,11.88,35.65,23.73,0.55,2575.809504,3363.139878,3841.618395,4307.897481,4303.485708,1970.9619,10.93,2861.6406,3311.669193,624.298251,456.604632,214.410318,208.1025,331.225188,187.440234,231.234249,284.332758,149.241864,14.7984,237.403332,173.622228,145.08,173.39,364.882299,8,0,320.431605,8,378.635562,4.39,261.7467,1,79.5414,1,1189.717368,1,915.826731,1,2052.963534,3,2175.928989,4,306.780081,16,375.185685,1826.381532,791.029974,9.81,63.18,3113.805336,30.72,2271.443412,11.92,238.328232,2,1649.383419,203.080293,5,302.90475,38.86,2,574.446141,0,289.4937,111.653928,1312.183377,18.498,16.37073,797.217555,0,0,69.09003,13.8735,51.008235,33.2964,1873.801155,76.174764,384.258954,0,1104.247359,2,735.970677,2,1874.476332,2.31,6.81,1691.207397,18.08,1649.55915,0,319.885914,21.22,730.671,0,235.451793,18.7,144.894834,5.92
"Rv2579",1,14.09,25.39,41.3,2,2716.5042,2673.5362,2946.5798,3869.6538,3866.6444,1656.3016,10.47,1917.6438,2362.1576,1052.839,895.6942,457.0188,184.5082,517.6496,234.561,319.4146,304.3348,206.599,51.66,409.0488,434.9198,688.53,779.76,659.2226,22.16,0,707.7174,10.51,864.526,12.14,190.4286,0,653.54,0,935.2838,0.88,817.9172,0,1512.613,1.09,2047.5728,6,161.54,37.12,544.2012,767.4216,1118.1438,6.97,54.14,2509.9544,53.14,2679.5386,9.39,388.7046,4,831.6932,395.691,9.18,385.2688,60.49,5,682.4286,0,533.6314,61.3524,987.7474,17.6382,82.82,650.2846,259.5054,0,40.5818,0,96.76,38.6548,1971.8376,79.5318,350.1646,0,853.9398,0.39,511.68,2,1957.4302,2.99,8,1670.1596,21.8,914.5132,0,1243.5628,72.86,904.0172,0,615.6396,57.08,481.873,8.64
"Rv2580c",15.81,15,52.62,39.24,2,4157.86168,5439.414918,5504.855893,6230.408984,7064.365415,2670.157207,14.16,6301.708021,7456.116013,3828.623026,2428.293202,1511.049142,791.062183,1784.821096,764.905255,1468.89445,1601.839372,1256.379141,124.284332,1787.925285,1647.078791,2269.68,2331.38,3023.645513,61.14,0,1133.895044,17.07,1776.170237,16.14,1915.479233,1,1285.542948,0,1898.002357,3.49,3150.197168,5,2302.014015,1,3452.714496,9.97,325.0154,131.65,2807.19888,2210.737235,2093.225679,15.88,67.65,4070.000481,52.78,3967.143811,78.39,2571.718411,2,2135.876652,2191.284966,61.42,1721.404169,216.84,8.08,1095.623021,0,264.508042,215.765463,1763.93837,0,71.0363,1148.082842,174.447637,0,306.779506,0,261.08273,66.1708,3157.067254,401.248054,364.9125,0,1737.810635,7.03,1266.382609,2,2956.832467,6.49,10,2878.604958,25.85,1632.774221,0,4515.514854,256.61,1713.317708,0,1845.746887,161.16,2129.707198,40.69
"Rv2581c",9.35,3,26.47,41.91,2,2412.30052,3465.91357,3031.22582,3982.85874,3930.95892,1734.52818,9.22,3651.14358,4500.67961,3071.13828,1578.96494,927.57063,994.70763,1131.91036,534.16727,951.09777,1206.60757,875.22323,137.41679,1249.07902,1305.67843,699.11,711.73,1915.88565,31.99,0,926.77277,9.69,807.96947,7.73,986.622,2,1484.04879,1,1202.88098,1.57,1880.89657,5,1573.60371,3,1864.83234,1.08,55.461,101.07,1946.49623,1650.34422,1477.23779,9.16,50.12,2409.25503,37.11,1815.02447,50.15,1521.65524,6,1261.58207,1510.10573,39.65,1093.91471,158.31,7,1320.50695,1,863.50831,136.30757,1104.12148,9.91487,13.48578,465.05508,188.41172,0,88.7376,0,141.45474,112.868,1695.05357,324.41766,518.17115,0,894.71242,6.43,1583.62561,1,1732.88381,5.57,5,2053.66245,27.34,522.56911,0,3439.50635,211.09,838.726,0,1433.27765,128.92,1467.76077,23.14
"Rv2582",11.61,5.97,45.89,38.04,0,2890.457884,3354.477196,4344.448006,4812.209958,4542.561252,1689.189528,16.95,2939.826708,3566.659366,862.474376,1061.16603,576.145404,534.610606,771.79191,425.716794,637.388604,642.526228,724.15831,88.258256,557.721408,514.99577,788.92,964.92,1493.219794,39.72,0,828.44187,26.05,712.411524,12.08,1026.742248,0,951.370582,2.24,1346.729462,2,1754.430548,3,1757.739382,0,1809.660006,2.26,178.634506,43.73,848.703162,2122.221482,1263.898034,12,86.92,2986.41407,39.77,3000.942318,25.84,591.685866,5.68,1281.037624,500.02521,18.96,925.087042,209.99,3,815.59781,0,261.627548,177.698846,1122.128532,0,138.231006,774.709468,327.132254,0,97.274616,0,113.189342,20.66958,2151.303496,123.439072,589.100042,0,1153.354058,3.58,865.0602,1,2221.418454,3,10,2291.439846,27.12,1492.743458,0,1902.826224,138.72,1889.157082,0,930.845604,101.22,1138.82581,33.86
"Rv2583c",36.39,23.7,110.96,113.35,7,8823.331965,12938.59175,11011.15365,14781.40223,15262.64929,6457.05732,32,14953.870225,18124.40812,14739.66865,12437.10111,8557.608115,5204.0184,10123.70261,4519.594135,11597.20744,12161.137275,9547.394535,537.174785,5719.617225,5671.46888,9065.59,9775.05,15702.61406,262.36,993.9125,5427.64334,72.91,8593.31375,108.14,6048.027405,5,5008.147795,5,4050.54265,5,10950.562595,20,5798.41031,4,7093.386965,16,297.6365,608.35,14032.66914,6083.657825,8565.860275,75.45,177.45,9119.02362,88.32,8398.5069,274,9533.41529,11,7091.409885,7355.436025,167.8,10356.041745,1458.22,49.49,10000.403735,2,1388.716035,315.269045,4291.456295,46.2035,441.587265,2311.29248,1132.523,0,327.432385,39.7565,455.598745,174.069,6155.649325,1417.00762,2928.85061,3,3922.365545,8,1548.3545,1,7196.560455,16,23,7469.17185,69.91,4654.11079,0,10208.13682,481.16,7235.81194,0,8266.21446,598.97,11755.18043,153.19
"Rv2584c",11.93,10.49,31.22,21.34,2,2352.641805,3568.91004,3119.746005,4548.11175,4536.250695,2179.311705,2.69,5485.12479,6795.745605,16110.837,5181.755895,3381.23538,2982.194865,2493.29475,1660.970205,1671.584355,1487.13516,1540.74177,308.49048,4482.912015,5178.4686,3659.72,3963.66,2765.42919,48.92,7.615395,2715.28506,32.16,1548.47052,15.31,3905.090055,3,2084.814855,0.72,1136.86821,0,2416.64616,2.41,1573.006725,1.68,2049.736635,3,21.6405,60.81,1575.582975,2368.78974,2354.269995,20.92,48.76,3179.42226,28.2,2766.76884,122.95,3523.54743,2,1575.16047,3105.24687,79.47,5167.77201,847.58,9.23,1203.613695,0,282.06846,101.617605,1064.475585,0,0,687.69387,200.9475,0,146.444355,36.0675,60.71706,67.466835,1717.750755,344.94957,539.497665,0,1074.04893,2,49.464,0,2144.418975,6,7.7,1607.29146,17.55,1416.700485,0,4308.70599,240.92,1741.946895,0,4359.13866,317.91,2171.892105,37.05
"Rv2585c",22.55,18.58,88.85,90.46,3,5923.989089,9767.388794,7480.563079,10784.296511,11529.852252,3848.749804,23.64,6349.789699,7975.904465,5974.76773,4595.808618,2409.888503,2064.759818,2466.311551,1143.060739,1664.490427,1541.070265,1247.077595,301.991541,2951.27858,3007.733161,3604.11,3865.15,2938.234429,67.23,0,2601.808852,41.08,1552.443167,19.2,4820.796573,4,3706.861815,1,2299.207673,1.66,3394.474895,11.26,3145.41675,2,5067.794562,10,211.607452,109.39,2230.528799,3034.410079,3524.937427,28.47,83.22,5433.819115,64.15,4636.044726,193.96,4934.515082,8,3003.465695,4251.731033,95.85,3388.798955,534.26,18.5,2165.507753,1.47,1496.808444,239.072695,2277.828299,29.4308,150.3073,863.47865,508.7324,0,219.564279,24.1753,304.051697,150.3073,3214.841905,515.375352,1282.857039,1,1874.016701,3.88,1148.8523,2.28,3757.913742,12.78,11,3731.257846,34.11,3450.834877,0,5269.290432,310.45,3164.672902,0,4190.861832,317.57,1977.802315,41.57
"Rv2586c",19.85,12,74.14,69.8,2,5669.57208,10878.35772,7739.93937,11796.88329,10154.642325,3753.53964,17,9995.850525,12169.971465,10031.01897,7222.176525,4611.440325,4358.35812,5671.06464,3151.322775,4426.279965,4201.53567,3616.358865,376.778115,4542.64782,5108.59755,6709.88,7459.45,8259.57828,204.09,5304.807,3856.536645,63.95,3392.910195,41.72,7727.719035,6,5823.90693,5,2637.56082,3.82,6417.53121,11,2918.03772,1,4645.396065,7,363.697485,288.66,5223.763065,4420.19571,5250.20418,38.61,84.43,4755.08886,58.88,4121.87028,249.12,7268.22822,7,3212.92197,5954.744325,175.35,5468.7813,964.93,12.99,2804.81046,0.46,294.438555,281.129895,2748.03099,10.365,523.34958,1536.642345,700.75692,0,177.75975,27.9855,556.175535,212.4825,2929.87455,1185.849285,1465.186035,0,2456.58792,3.09,3357.192405,2,3935.165535,11.22,6,5605.12251,72.61,2700.99462,0,8621.42043,491.05,3170.850435,0,6032.05686,528.36,6154.332765,111.27
"Rv2587c",20.19,17,69.86,74.34,2,5690.572424,8796.05334,8049.270805,10917.145039,10957.996573,4856.645984,17.59,10896.286821,13527.992524,9787.884737,6966.433615,4003.450332,3277.606471,4711.744728,2412.553616,3659.631673,3260.338602,3157.777316,382.115715,4493.236289,4587.178726,5410.3,5897.07,5376.633112,105.97,5.0285,3697.677304,66.81,2914.096206,38.28,6934.311557,5,5984.055798,6,3338.390979,3.14,5199.479057,17,3505.759573,4,5045.124221,10,372.833104,230.07,4473.242973,3083.285117,5407.417589,38.49,128.81,6481.595702,59.61,5605.580717,160.42,5641.544549,12,3588.930963,4269.840148,104.97,4552.532361,624.85,13,2552.828652,3,1137.708182,324.177338,3714.703805,29.1653,506.963313,1698.637357,677.489805,0,175.725961,10.057,516.437007,82.4674,4200.084796,880.731718,1323.108977,1,2986.194839,9.86,3451.441716,5,4766.153098,7.74,16.77,5623.753716,70.68,4155.04955,0,9649.651272,562.91,4781.379396,0,4967.071844,423.86,4533.082123,67.65
"Rv2588c",4.69,5,27.2,16.8,2,1277.97972,2313.55332,1496.93008,2396.3579,2559.44368,1199.37778,6.68,1968.44294,2280.55182,2391.72422,1712.45906,1337.08608,657.74908,1359.99406,582.3979,1161.17686,1228.05092,1032.8347,44.52284,836.24454,1018.0177,1190.85,1222.76,2182.30164,54.73,0,1026.5936,20.18,911.94594,14.28,1182.70192,1.65,1611.4161,4,556.5804,0,1076.42362,2,516.25122,0,907.49186,2,47.06418,46.27,755.4874,722.52182,1353.0166,12.89,19.14,833.26318,16.51,810.82216,38.5,1089.80382,1,702.8197,963.89524,32.05,826.18694,144.16,1.81,447.36564,0,137.56462,46.83968,324.15106,31.43,82.616,301.6831,55.676,0,20.99524,28.736,104.47332,8.98,790.38368,241.88528,603.007,0,373.99006,0.46,332.17918,0,1023.84572,3,2.28,1021.08886,15.65,506.48098,0,2864.74572,191.5,1342.85124,0,1547.31686,162.41,1522.93616,22.42
"Rv2589",13.26,11.45,44.53,42.72,1.46,3656.935843,5590.223166,5373.173047,6561.985397,6650.72452,3231.872028,11.39,5344.573234,6547.794176,3824.249407,2820.098897,1375.927377,1235.9094,1906.561041,736.380491,1236.075016,1297.104512,1017.151366,222.970891,1906.188405,1871.781681,2027.74,2191.32,1564.34663,31.65,1547.4745,1474.572407,25.91,1037.729154,12,1841.277284,1,1663.219382,3,2029.034073,1,2312.817089,3.38,2828.648823,2,2678.652482,1.2,436.8122,79.73,1709.757478,3157.934835,2195.167623,9.76,62.95,3560.661192,51.08,3241.41565,79.46,2308.945815,8.05,3055.066597,1457.710628,28.99,1166.599104,161,8.31,1016.840836,0,627.343057,166.050742,2303.842772,14.4914,116.9663,706.745578,146.9842,0,102.4749,60.0358,245.3187,133.5279,3334.905882,680.588601,1433.385778,0,1859.205216,12.74,1965.6549,1,2780.164739,7.91,8.12,3555.195864,37.95,2709.022316,0,3858.54227,211.11,2104.969009,0,1680.753976,156.7,1068.896015,15.93
"Rv2590",90.18,36.3,215,180.01,3.16,13047.345204,28231.336494,17897.831235,31040.219619,22938.998886,10374.151596,40,7582.927851,9984.028113,100555.58523,36982.858935,17780.594778,16093.925568,27435.503637,12256.016481,7050.011415,5855.830566,5401.9845,1867.489356,41394.519294,50105.008479,3336.45,3711.66,5225.529594,77.08,5106.3387,42659.357505,714.96,5142.014616,71.36,12589.491054,8,9000.400647,9.38,8966.947035,9.42,13322.097378,28.24,7050.348729,8,7760.841144,13,712.704798,174.93,4050.853431,9154.444014,8720.678052,92.8,195.96,10845.746331,114.73,9480.279417,543.86,17102.504349,27.62,7719.797967,19505.936046,480.91,44032.800903,8178.57,19.54,3790.575996,3,3014.108931,586.053312,9933.133383,15.218814,934.587963,2719.465152,970.740087,0,278.274129,94.2495,1314.076134,435.5319,9736.211454,3049.338402,4480.095417,0,9005.242095,21.15,9071.315955,8,11089.465617,26.22,21.34,14211.872184,158.41,8717.463648,0,9373.331037,492.31,10308.643233,0,43183.33512,3666.96,3737.250621,59.05
"Rv2591",20.3,16.01,37.95,71.97,4,5484.981952,8555.69912,6324.27502,7171.234796,10904.704712,4561.029776,14,3006.618284,3850.693556,31439.315184,2533.082492,1329.31174,1248.36128,1550.930568,694.850988,1144.80108,932.128552,1069.912416,474.902136,11511.025284,11791.559564,632.38,741.15,1212.348356,12.7,269.180612,1821.325708,16.97,1315.344668,13.84,2498.500976,1.03,2752.944592,2,3518.032168,0,2472.009084,5,2090.734044,2,4347.706608,3,143.401056,109.66,3830.610468,4416.088872,2181.726048,18.15,57.47,3994.311492,31.19,3915.356328,70.04,3220.331836,8,2601.725012,1625.775856,26.64,2386.471612,239.36,11.03,1448.660804,0,1026.9268,522.507296,2863.661832,65.064,245.367188,1595.597004,659.607988,0,124.836128,3.2532,673.401556,71.5704,3802.318472,360.953384,870.306908,0,3578.823632,4.72,913.758816,0,2548.860512,4.89,8.85,2614.737812,25.5,2217.21846,0,1929.603048,75.09,3903.384552,0,1837.667616,104.5,959.140956,10.81
"Rv2592c",7.08,11.77,18.34,33.43,3,2776.142412,3860.28918,4287.55926,4414.770144,4907.999532,2098.51494,11.07,3163.452936,4143.171792,3211.020432,772.813524,257.618124,429.955836,402.771492,132.521124,231.86346,352.171032,245.44542,95.12478,1569.615036,1456.261836,1420.34,1484.35,607.859088,12.99,0,452.779656,7.01,688.207104,5.73,190.106592,0,608.961984,0,2402.107488,3,1497.630648,5.76,1773.038076,1.5,2401.70922,9.3,148.778628,51.46,1501.480572,1923.205536,1446.448104,8.66,47.08,2686.06236,21.7,2527.275972,61.88,1620.991608,2,1311.802884,987.224676,15.61,737.694456,100.23,7.76,1003.880448,0,369.31698,194.293512,2189.054532,0,60.802248,1059.964752,222.121212,0,102.12,16.3392,266.717016,60.853308,2604.62166,188.186736,705.730896,0,2398.022688,7.15,2840.355468,2,1788.17226,6,3,2236.162488,26.93,2108.818848,0,2272.946112,115.53,2025.642108,0,418.834968,29.04,540.16374,8.64
"Rv2593c",4.47,4,15.01,13.85,0,1406.175862,2633.467356,1983.429058,2655.910322,2498.999126,1264.916224,3.47,1978.994862,2379.0533,1168.369436,345.784868,96.456126,38.317058,153.935834,58.872606,100.173268,157.677702,71.350994,59.111624,513.138678,401.063962,1359.99,1435.35,280.491744,8.07,410.4516,154.158368,2,237.963024,1,163.991074,0,437.452392,0,953.797208,1,640.551756,2.09,944.145826,1.55,1239.893512,0.76,64.633764,20.01,406.800394,722.444268,567.239166,6.97,17.47,1084.07026,12.49,949.18993,22.05,607.278802,1,518.949288,372.686756,7,278.983458,40.24,1,292.904196,0.53,549.609528,73.279622,1001.534872,0,62.6392,366.241512,76.518728,0,34.830692,24.726,157.685944,38.333542,1275.136304,156.540306,329.168996,0,815.224462,3.08,956.8962,0,886.26226,1.64,1.14,1197.142258,15.34,353.301572,0,1390.103962,73.41,275.2828,0,186.31041,19.22,131.575288,2.12
"Rv2594c",11.12,7,29.3,30.14,3,2595.50988,4027.048555,2984.69281,4913.0672,4550.878775,2298.98528,6.57,3918.778945,4646.77824,2745.67873,1077.660565,397.28016,566.22292,538.577945,265.694565,613.41564,627.378315,527.41902,100.59855,895.999995,926.62816,2786.92,2926.73,1228.17708,20.96,570.37247,562.174305,9,678.900025,15,1616.765615,0,1676.990165,2,1349.41123,1.76,1335.672855,3,1659.696635,3,2431.019475,1.26,79.11061,33.14,667.685025,454.734605,1107.75041,11.2,35.24,2086.28159,20.41,1703.031395,29.89,1077.795145,0,1244.77528,784.410745,22.65,429.96067,57.81,6,921.53655,0.53,794.44817,80.32183,1103.432635,15.701,117.7575,359.339815,202.307385,0,95.66395,0,103.08828,55.55911,1618.36936,325.61631,992.68451,0,1249.01455,6,611.318435,2,1590.298215,3.57,12.18,2200.33814,26.46,836.12311,0,3991.55308,234.8,1379.15341,0,634.802645,49.43,949.57405,13.11
"Rv2595",11.65,1.28,8.14,4.47,1,907.458844,1089.864996,1197.463556,1463.146084,1357.92042,721.145596,1,1286.11986,1534.50684,593.111492,809.617796,475.019004,164.486696,768.092116,331.458796,1226.664496,1446.126692,897.343352,7.834648,229.148112,264.34266,288.45,328.65,1129.253024,14.14,0,324.739,5.08,759.48014,6.3,241.544448,1,98.1888,0,349.74646,0.2,569.423444,1.15,540.202048,0,726.556208,0.74,172.352028,24.59,583.86538,486.740292,568.236996,3,9.96,704.76034,12.39,599.115328,20,449.356952,3,310.9312,395.77246,5.73,379.929288,59.15,1,407.698308,0,162.400184,22.307268,450.33884,0,25.57,119.186884,38.702752,0,25.57,26.204136,22.225444,22.5016,392.018784,65.91946,78.356708,0,503.964244,0,64.4364,0,548.445816,1,0,922.442864,8.73,291.763928,0,855.664252,43.04,626.199072,0,702.418128,33.72,827.885004,15.27
"Rv2596",6.03,1.77,12.49,15.99,0,1217.356672,1514.845668,1914.031868,1739.61144,1901.48462,799.603672,4.3,992.29774,1241.952796,520.818284,801.870776,474.547864,306.039496,751.232272,325.06558,1020.73426,1197.744268,814.877308,25.758992,189.058884,250.769064,262.36,271.26,1089.72458,22,0,357.469532,5.97,634.39824,10.39,301.876624,0,193.4856,1,441.54782,1.85,783.147624,0.91,473.365452,1,888.919752,3.45,0,23.95,432.70416,212.892792,568.7304,3.3,14.12,871.398556,11.51,788.082484,16.72,405.958196,0,666.460172,305.902688,6.38,328.407604,50.99,5,516.10818,0,168.557228,27.80134,654.166996,0,102.94802,325.866884,149.5116,0,0,15.058652,68.540808,0,714.303884,98.628796,100.6516,0,519.518608,1.62,110.37474,0,618.088772,2,1,1348.38942,13.82,504.645624,0,747.636176,45.82,584.991008,0,520.056068,45.51,878.043516,10.78
"Rv2597",9.01,15.51,32.46,35.46,3,2993.513808,3575.958117,4116.071997,4934.251533,4711.250544,2210.17788,13.57,2084.154471,2438.065704,916.466598,1151.77482,650.338104,424.082388,780.289959,424.642239,589.45668,598.974147,559.822533,68.766783,335.322282,424.585305,1056.03,1141.35,1030.097373,11.82,0,642.917706,10,439.634859,5,597.408462,0,342.5529,0,1647.223977,2.11,1490.968614,5.08,1767.753255,2,2506.377015,8.04,82.5543,50.53,822.288273,1422.59088,1233.503577,6.61,54.68,2655.316359,30.84,2496.802614,24.41,610.90182,5.01,1683.889473,664.201533,18.34,626.634582,106.89,6.88,1064.846091,0,390.130746,127.522671,1466.657796,23.7225,52.806285,557.867799,368.865897,0,102.4812,7.5912,81.994449,56.934,1948.395348,138.311664,832.593327,1,1722.177588,6.88,1129.105599,0.12,1872.008898,4.81,4.45,2616.582261,27.14,2496.071961,0,1424.090142,85.15,889.271124,0,874.971201,68.65,751.965294,7.99
"Rv2598",6,5.32,11.04,26.64,0,1850.203215,2159.97789,2896.194945,2767.979865,3154.193805,1392.892305,11.59,726.926865,815.593275,198.05709,247.22712,154.15092,165.558855,157.09659,81.215085,164.617635,227.25234,140.843115,17.43,109.21638,77.938245,338.32,334.91,214.380285,5.43,0,203.82642,6,205.334115,3,1.34211,0,0,0,1368.37701,1.76,810.329415,2.58,1227.115575,1,1978.366005,4.82,55.44483,13.91,342.22062,909.41025,476.544915,3.64,48.58,1974.45297,18.68,1530.94662,18.11,286.784505,2.73,1181.64942,145.29648,6.78,297.42552,44.2,0,398.60667,0,435.270675,71.23641,1148.506275,14.8155,92.58816,403.373775,54.033,0,59.66289,13.0725,70.286475,49.6755,1541.91009,79.88169,233.134965,0,1219.08906,2,1170.11076,0.74,1106.66556,3,2.42,1601.111085,22.84,1366.276695,0,266.304255,14.64,631.462755,0,192.958815,14.8,175.615965,2.31
